"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",7300,6900,6900,7000,7284,6899,6897,6984
"empl_table",7100,6300,6500,6600,7030,6305,6497,6531
"unempl_table",200,600,400,400,229,593,413,458
"uerate_table",0.025,0.087,0.064,0.062,0.029,0.08,0.067,0.074
