"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",17300,16600,16600,16800,17138,16446,16531,16631
"empl_table",16900,15100,15500,15700,16776,15189,15443,15545
"unempl_table",400,1500,1200,1100,402,1278,1082,1101
"uerate_table",0.021,0.091,0.069,0.066,0.022,0.075,0.06,0.07
