"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","421400","402600","408700","406600","418006","402282","404432","402998"
"empl_table_1","403500","372600","381000","380500","398484","371100","374146","374860"
"unemp_table_1","17900","30000","27700","26100","17921","30584","29025","26201"
"uerate_VEN_table","0.042","0.074","0.068","0.064","0.042","0.077","0.072","0.065"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","138900","130700","130400","130300","137781","130266","129233","129185"
"empl_table_2","134000","121800","122200","122700","132736","121213","120783","121357"
"unemp_table_2","4900","8900","8200","7600","4728","8991","8372","7332"
"uerate_SLO_table","0.035","0.068","0.063","0.058","0.034","0.069","0.064","0.056"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","222700","210900","213600","214600","221675","213766","213251","213531"
"empl_table","211700","194600","198300","200500","211378","197266","198729","199914"
"unemp_table","11000","16400","15300","14200"," 9641","14529","13722","12541"
"uerate_SB_table","0.049","0.078","0.072","0.066","0.042","0.069","0.064","0.057"
"uerate_CA_table","5.100","9.200","8.400","8.200","0.050","0.095","0.089","0.080"
"uerate_US_table","0.130","0.062","0.057","0.055","0.133","0.060","0.061","0.058"
