"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",215600,214400,216200,219600,214420,214246,216233,218479
"empl_table",188900,200300,203400,207700,188020,201453,204604,207245
"unemp_table",26700,14100,12800,11900,28604,12383,12310,12366
"uerate_SB_table",0.124,0.066,0.059,0.054,0.132,0.057,0.056,0.056
"uerate_CA_table",0.155,0.082,0.081,0.075,0.154,0.08,0.076,0.073
"uerate_US_table",0.112,0.057,0.055,0.061,0.111,0.061,0.058,0.059
