"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",18000,17300,17400,17600,17794,17262,17280,17381
"empl_table",14800,15700,16000,16300,14738,15839,16114,16284
"unempl_table",3100,1600,1400,1300,3184,1360,1299,1278
"uerate_table",0.175,0.091,0.082,0.075,0.177,0.08,0.075,0.073
