"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",NA,NA,NA,NA,NA,NA,NA,NA
"empl_table",44400,47100,47800,48900,44155,47396,48120,48770
"unempl_table",6100,2000,2000,2000,5825,2233,1996,1852
"uerate_table",0.121,0.041,0.04,0.04,0.118,0.046,0.039,0.038
