"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",16900,16700,17000,17300,16734,16861,17028,17144
"empl_table",15100,16100,16300,16600,15129,16202,16377,16703
"unempl_table",1800,700,700,700,1611,722,672,615
"uerate_table",0.105,0.04,0.041,0.038,0.1,0.042,0.038,0.035
