"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","403900","406400","405600","406800","403860","403791","405887","406896"
"empl_table_1","348900","380600","380800","383000","349283","377543","381416","384152"
"unemp_table_1","54900","25800","24800","23800","56357","25520","24407","23776"
"uerate_VEN_table","0.136","0.064","0.061","0.058","0.139","0.064","0.059","0.057"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","128100","129800","128400","129400","127986","128962","129020","129508"
"empl_table_2","111300","122300","121300","122700","111629","121559","122441","123485"
"unemp_table_2","16800"," 7500"," 7100"," 6700","16797"," 7122"," 6762"," 6517"
"uerate_SLO_table","0.131","0.058","0.055","0.052","0.131","0.055","0.052","0.050"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","215600","214400","216200","219600","214420","214246","216233","218479"
"empl_table","188900","200300","203400","207700","188020","201453","204604","207245"
"unemp_table","26700","14100","12800","11900","28604","12383","12310","12366"
"uerate_SB_table","0.124","0.066","0.059","0.054","0.132","0.057","0.056","0.056"
"uerate_CA_table","15.500"," 8.200"," 8.100"," 7.500"," 0.154"," 0.080"," 0.076"," 0.073"
"uerate_US_table","0.112","0.057","0.055","0.061","0.111","0.061","0.058","0.059"
