"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3200,3300,3300,3400,3175,3275,3297,3375
"empl_table",2900,3100,3200,3200,2876,3123,3191,3180
"unempl_table",300,200,100,100,314,192,95,105
"uerate_table",0.091,0.047,0.042,0.039,0.095,0.042,0.04,0.039
