"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",48500,50300,49900,50100,48632,49226,49634,50162
"empl_table",42000,44500,45200,46200,41755,44770,45466,46065
"unempl_table",6500,5700,4700,3900,7190,4084,4001,4146
"uerate_table",0.134,0.114,0.095,0.078,0.146,0.082,0.081,0.081
