"","V1","V2","V3","V4"
"lf_table",215700,221900,220700,221400
"empl_table",199500,209200,208600,211100
"unemp_table",16100,12700,12000,10300
"uerate_SB_table",0.075,0.057,0.055,0.047
"uerate_CA_table",0.105,0.079,0.075,0.064
"uerate_US_table",0.077,0.057,0.053,0.046
