"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","399900","412300","409300","410200","401579","412349","412623","411902"
"empl_table_1","364700","386000","384000","388600","366116","390344","389434","389949"
"unemp_table_1","35100","26300","25300","21600","36604","22818","23355","22678"
"uerate_VEN_table","0.088","0.064","0.062","0.053","0.091","0.055","0.057","0.055"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","130700","130700","129500","131000","131143","130984","131348","131322"
"empl_table_2","120800","123300","122400","125000","120717","124855","124693","124797"
"unemp_table_2"," 9800"," 7500"," 7100"," 6000","10727"," 6463"," 6736"," 6604"
"uerate_SLO_table","0.075","0.057","0.055","0.046","0.082","0.049","0.052","0.050"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","215700","221900","220700","221400","215711","220025","220826","221380"
"empl_table","199500","209200","208600","211100","198130","208376","208598","209593"
"unemp_table","16100","12700","12000","10300","18623","11860","12246","11882"
"uerate_SB_table","0.075","0.057","0.055","0.047","0.087","0.054","0.056","0.054"
"uerate_CA_table","0.105","0.079","0.075","0.064","0.113","0.068","0.069","0.069"
"uerate_US_table","0.077","0.057","0.053","0.046","0.078","0.054","0.052","0.048"
