"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",NA,NA,NA,NA,NA,NA,NA,NA
"empl_table",49700,46000,48200,47300,48992,45676,47143,46478
"unempl_table",1100,3500,2800,2300,1446,3584,3263,3199
"uerate_table",0.021,0.072,0.055,0.045,0.026,0.07,0.062,0.06
