"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",218500,211100,218300,213600,217828,211329,215975,212847
"empl_table",211500,195700,204900,201300,208512,194207,200487,197827
"unemp_table",7000,15400,13400,12300,8550,18158,16351,15528
"uerate_SB_table",0.032,0.073,0.061,0.058,0.039,0.086,0.076,0.074
"uerate_CA_table",0.037,0.107,0.087,0.079,0.044,0.114,0.1,0.097
"uerate_US_table",0.033,0.077,0.066,0.064,0.035,0.079,0.069,0.067
