"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",17300,16900,17500,17200,17288,16996,17372,17200
"empl_table",16600,15300,16100,15800,16323,15213,15718,15489
"unempl_table",800,1600,1400,1400,922,1864,1693,1665
"uerate_table",0.045,0.094,0.08,0.081,0.052,0.109,0.101,0.098
