"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","426000","406000","419400","412600","423963","408465","417380","410480"
"empl_table_1","411300","372300","390500","386700","406015","374376","386282","380485"
"unemp_table_1","14700","33600","28900","25900","16564","34930","31822","30068"
"uerate_VEN_table","0.034","0.083","0.069","0.063","0.039","0.086","0.077","0.074"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","142000","129200","134200","131800","141147","130780","133064","130883"
"empl_table_2","138400","119900","126300","124600","136340","120961","124342","122246"
"unemp_table_2"," 3600"," 9200"," 7900"," 7100"," 4347","10116"," 9226"," 8861"
"uerate_SLO_table","0.026","0.072","0.059","0.054","0.032","0.078","0.069","0.068"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","218500","211100","218300","213600","217828","211329","215975","212847"
"empl_table","211500","195700","204900","201300","208512","194207","200487","197827"
"unemp_table"," 7000","15400","13400","12300"," 8550","18158","16351","15528"
"uerate_SB_table","0.032","0.073","0.061","0.058","0.039","0.086","0.076","0.074"
"uerate_CA_table"," 3.700","10.700"," 8.700"," 7.900"," 0.044"," 0.114"," 0.100"," 0.097"
"uerate_US_table","0.033","0.077","0.066","0.064","0.035","0.079","0.069","0.067"
