"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3300,3200,3300,3200,3287,3190,3263,3190
"empl_table",3200,3000,3100,3100,3156,2987,3036,3051
"unempl_table",100,200,200,200,110,214,220,226
"uerate_table",0.027,0.061,0.051,0.048,0.033,0.069,0.062,0.061
