"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",17400,16800,16900,17500,17281,16857,17003,17372
"empl_table",16700,15200,15300,16000,16343,15171,15236,15588
"unempl_table",700,1600,1600,1500,827,1654,1890,1805
"uerate_table",0.038,0.097,0.094,0.084,0.047,0.105,0.112,0.107
