"","V1","V2","V3","V4"
"lf_table",218405.523807407,210538.664521497,211666.720347526,216022.210208183
"empl_table",209632.079630284,193813.429150463,194568.928267291,199954.498536498
"unemp_table",8271.19779272822,16451.9630459407,18370.21022083,16848.6805727579
"uerate_SB_table",0.0377230331019191,0.0781331651440287,0.0868130539647631,0.0784018595921261
"uerate_CA_table",0.0413535398973506,0.104882270671095,0.114667714638107,0.102513526321632
"uerate_US_table",0.0357969280051808,0.0918865400831488,0.0814353802933884,0.0846065072988399
