"","industrylist_short.i.","employment_ind_currrent_NSA","employment_ind_MoM_NSA","employment_ind_YoY_NSA","emp_pcttot_NSA","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",112900,0.0329368709972553,-0.109621451104101,"",111209.30386939,0.00500807336364462,-0.110432594431599,""
"2","Total Nonfarm",107700,0.0345821325648414,-0.11576354679803,"",106297.022987942,0.00551535094314337,-0.116612412236695,""
"3","Educational and Health Services",18000,0.0344827586206897,-0.0526315789473685,"0.159433126660762",17628.0347824355,-0.00677815204523879,-0.0533480187342975,"0.158584620270143"
"4","Financial Activities",3800,0,-0.0256410256410257,"0.0336581045172719",3752.91921699751,-0.00370118417654597,-0.0259366939200402,"0.0337618615051227"
"5","Goods Producing",14100,0.0601503759398496,-0.150602409638554,"0.12488928255093",13755.6927178858,0.037491398154059,-0.151881434533365,"0.123748411728361"
"6","Government",22200,0.0422535211267605,-0.101214574898785,"0.196634189548273",22197.6009632632,-0.0194907625084161,-0.0997198931520952,"0.199693168473594"
"7","Information",1100,0,-0.153846153846154,"0.00974313551815766",1100.35675575388,-0.00831177581742348,-0.154693354172498,"0.00989898536204311"
"8","Leisure and Hospitality",15200,0.0410958904109588,-0.247524752475248,"0.134632418069088",14771.3212530441,0.0187301923017054,-0.255794802212937,"0.132885168466785"
"9","Other Services",3500,0.0294117647058822,-0.166666666666667,"0.0310008857395926",3430.84300265412,0.00230142961441859,-0.166331539728806,"0.0308644123691258"
"10","Professional and Business Services",10300,0.00980392156862742,-0.104347826086956,"0.0912311780336581",10209.3270589334,0.00141301968806107,-0.105175027349308,"0.0918447390668787"
"11","Retail Trade",12800,0.024,-0.0588235294117647,"0.113374667847653",12774.0062556544,0.00985991927011898,-0.0589741957484378,"0.114917003306565"
"12","Total Farm",5200,0,0.04,"0.0460584588131089",4910.12470485076,0.00176040496659269,0.039897938834913,"0.0441722671533228"
"13","Transportation, Warehousing and Utilitie",4200,0.024390243902439,0.024390243902439,"0.0372010628875111",4148.44462192891,0.0182669883706639,0.0193188911712876,"0.0373200713068607"
"14","Wholesale Trade",2500,0.0416666666666667,-0.0740740740740741,"0.0221434898139947",2479.86820471238,0.0131663073392101,-0.0725088252094416,"0.0223092909911981"
