"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",17400,16600,16700,17200,17158,16563,16624,16937
"empl_table",17100,15500,15600,16300,16775,15497,15568,15929
"unempl_table",400,1200,1100,900,430,1115,1108,987
"uerate_table",0.021,0.069,0.065,0.052,0.023,0.06,0.068,0.058
