"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",NA,NA,NA,NA,NA,NA,NA,NA
"empl_table",50200,45600,46000,48100,49234,45629,45816,46972
"unempl_table",1100,3700,3500,2900,1208,3094,3686,3305
"uerate_table",0.022,0.076,0.072,0.057,0.024,0.066,0.071,0.065
