"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",2800,2600,2600,2700,2768,2602,2601,2663
"empl_table",2800,2500,2500,2600,2742,2488,2492,2534
"unempl_table",0,100,100,100,23,119,122,125
"uerate_table",0.013,0.033,0.031,0.027,0.016,0.035,0.036,0.033
