"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3300,3200,3200,3300,3264,3193,3196,3260
"empl_table",3300,3000,3000,3100,3242,2984,2985,3033
"unempl_table",100,200,200,200,108,208,214,219
"uerate_table",0.026,0.064,0.061,0.053,0.031,0.066,0.071,0.066
