"","V1","V2","V3","V4"
"lf_table_1","425689","430819","426240","427260"
"empl_table_1","404491","413948","409074","410564"
"unemp_table_1","21118","16925","16679","16534"
"uerate_VEN_table","0.050","0.039","0.040","0.040"
"blank","","","",""
"blank.1","","","",""
"lf_table_2","141669","141193","142750","143028"
"empl_table_2","135942","136780","138270","138616"
"unemp_table_2","5672","4441","4402","4359"
"uerate_SLO_table","0.040","0.032","0.031","0.030"
"blank.2","","","",""
"blank.3","","","",""
"lf_table","214000","215400","212800","215800"
"empl_table","201400","205900","201800","205400"
"unemp_table","12600"," 9500","11000","10500"
"uerate_SB_table","0.059","0.044","0.052","0.048"
"uerate_CA_table","0.051","0.044","0.042","0.042"
"uerate_US_table","0.046","0.041","0.041","0.041"
