"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3000,3000,2900,2900,3029,2920,2897,2915
"empl_table",2900,2900,2800,2800,2923,2845,2772,2815
"unempl_table",100,100,100,100,110,110,111,113
"uerate_table",0.021,0.036,0.034,0.045,0.023,0.046,0.046,0.052
