"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",17100,17500,17100,17100,17263,17378,17133,17260
"empl_table",16200,16100,15700,15300,16281,15707,15396,15342
"unempl_table",800,1400,1400,1800,827,1741,1743,1906
"uerate_table",0.05,0.08,0.08,0.103,0.053,0.104,0.101,0.114
