"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",218500,210800,209900,211700,218280,209709,210157,211406
"empl_table",212000,189200,193900,196100,209801,189365,193170,193718
"unemp_table",6500,21700,16000,15600,7747,20398,16582,18850
"uerate_SB_table",0.03,0.103,0.076,0.074,0.036,0.097,0.079,0.089
"uerate_CA_table",0.036,0.139,0.113,0.108,0.039,0.121,0.105,0.118
"uerate_US_table",0.033,0.105,0.085,0.077,0.036,0.092,0.081,0.085
