"","V1","V2","V3","V4"
"lf_table",219200,224000,222500,225000
"empl_table",207400,217600,216300,218500
"unemp_table",11800,6300,6200,6600
"uerate_SB_table",0.054,0.028,0.028,0.029
"uerate_CA_table",0.072,0.04,0.039,0.041
"uerate_US_table",0.053,0.038,0.038,0.038
