"","industrylist_short.i.","employment_ind_currrent_NSA","employment_ind_MoM_NSA","employment_ind_YoY_NSA","emp_pcttot_NSA","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",122300,-0.00811030008110303,0.0200166805671393,"",124090.668967765,-0.00254128809403009,0.019380655627137,""
"2","Total Nonfarm",117200,-0.00593723494486853,0.0191304347826087,"",118946.158739662,-0.00384248778980223,0.0185067440826556,""
"3","Educational and Health Services",18200,0.00552486187845314,0.064327485380117,"0.148814390842191",18704.9568091078,-0.000672295309065984,0.0612405992010623,"0.150883038487161"
"4","Financial Activities",4000,0,0,"0.0327064595257563",3974.89359377962,-0.00255036054983637,4.95929730062183e-05,"0.0320633738539612"
"5","Goods Producing",17800,0,0.0409356725146199,"0.145543744889616",17674.0124325065,-0.00500926042065619,0.041443910904605,"0.142566952989593"
"6","Government",20600,-0.0418604651162791,-0.0636363636363636,"0.168438266557645",22474.3693688981,-0.00692198058756099,-0.0628596797377083,"0.18128890502495"
"7","Information",1200,0,0,"0.0098119378577269",1191.49726324223,-0.000456548207155683,-0.000282234392870895,"0.0096111811035879"
"8","Leisure and Hospitality",19500,0.00515463917525771,0.0263157894736843,"0.159443990188062",18847.9201901123,-0.00280252756639676,0.0265695053786179,"0.152036248812023"
"9","Other Services",4100,0,0.108108108108108,"0.0335241210139002",4214.92773096383,0.0132923117517942,0.0987863356696985,"0.0339996028615237"
"10","Professional and Business Services",11700,0,0.0353982300884956,"0.0956663941128373",11580.3481269217,-0.00737443048893582,0.0365114266767561,"0.093412571328594"
"11","Retail Trade",13600,0,0.0225563909774436,"0.111201962387572",13661.779320152,-0.00256800720398132,0.0228949020806808,"0.11020238089841"
"12","Total Farm",5100,-0.0555555555555556,0.0408163265306123,"0.0417007358953393",5098.6225349183,-0.00382290790126272,0.0432520402486909,"0.0411279035829155"
"13","Transportation, Warehousing and Utilitie",3800,0,0.027027027027027,"0.0310711365494685",3833.10315978824,0.00119527645702422,0.0268653852450438,"0.0309196250751019"
"14","Wholesale Trade",2700,0,0.0384615384615385,"0.0220768601798855",2713.4801809411,0.000434275054233879,0.0380715772024511,"0.0218882159821792"
