"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3300,3300,3200,3200,3334,3269,3188,3224
"empl_table",3200,3100,3100,3000,3213,3024,3041,3001
"unempl_table",100,200,200,200,110,219,225,226
"uerate_table",0.029,0.051,0.048,0.063,0.033,0.065,0.062,0.074
