"","V1","V2","V3","V4"
"lf_table",209800,218600,216800,218400
"empl_table",198900,211300,208300,207000
"unemp_table",10900,7300,8600,11300
"uerate_SB_table",0.052,0.034,0.04,0.052
"uerate_CA_table",0.047,0.039,0.041,0.048
"uerate_US_table",0.044,0.037,0.044,0.041
