"","V1","V2","V3","V4"
"lf_table",219600,215400,217300,219900
"empl_table",211500,207700,210200,212600
"unemp_table",8200,7700,7100,7400
"uerate_SB_table",0.037,0.036,0.033,0.034
"uerate_CA_table",0.042,0.043,0.039,0.04
"uerate_US_table",0.039,0.039,0.036,0.035
