"","V1","V2","V3","V4"
"lf_table",218476,215315,216976,218486
"empl_table",210085,207437,208793,210950
"unemp_table",8952,8089,8219,8167
"uerate_SB_table",0.041,0.038,0.038,0.038
"uerate_CA_table",0.043,0.041,0.041,0.041
"uerate_US_table",0.041,0.038,0.037,0.037
