"","V1","V2","V3","V4"
"lf_table",217011,217102,216521,216064
"empl_table",206953,208401,207828,207634
"unemp_table",10164,8724,8436,8636
"uerate_SB_table",0.047,0.04,0.039,0.04
"uerate_CA_table",0.05,0.042,0.04,0.041
"uerate_US_table",0.045,0.041,0.04,0.041
