"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",17500,17500,17600,17600,17345,17476,17501,17439
"empl_table",16100,16600,16900,17000,15969,16715,16901,16859
"unempl_table",1400,800,700,600,1461,734,666,624
"uerate_table",0.078,0.047,0.04,0.035,0.082,0.043,0.039,0.037
