"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","405000","415100","410200","410700","405204","411685","410871","410966"
"empl_table_1","380200","400600","397700","399700","380662","397134","399014","400208"
"unemp_table_1","24800","14500","12500","11000","26073","14257","12495","11490"
"uerate_VEN_table","0.061","0.035","0.030","0.027","0.064","0.035","0.030","0.028"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","134400","140100","136500","137700","134546","138389","137487","138053"
"empl_table_2","127300","136200","133200","134800","127659","134599","134568","135353"
"unemp_table_2","7100","3900","3300","2900","7326","3722","3225","2980"
"uerate_SLO_table","0.053","0.028","0.024","0.021","0.054","0.027","0.023","0.021"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","219600","222000","223400","224300","218360","222109","222970","223012"
"empl_table","207300","214100","217000","218900","205990","215376","217267","217556"
"unemp_table","12300"," 7900"," 6400"," 5400","13394"," 7006"," 6266"," 5810"
"uerate_SB_table","0.056","0.036","0.028","0.024","0.061","0.032","0.028","0.026"
"uerate_CA_table","0.076","0.043","0.039","0.034","0.076","0.042","0.037","0.034"
"uerate_US_table","0.055","0.038","0.033","0.034","0.058","0.036","0.036","0.036"
