"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3000,3100,3200,3200,2963,3127,3178,3170
"empl_table",3000,3100,3100,3200,2968,3072,3110,3162
"unempl_table",0,0,0,0,2,6,10,2
"uerate_table",0.012,0.008,0.006,0.005,0.013,0.007,0.006,0.006
