"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",49600,50900,50400,50100,49762,49539,50158,50259
"empl_table",45600,47100,47800,48200,45331,47445,47849,47943
"unempl_table",4000,3700,2600,1900,4678,2654,2376,2216
"uerate_table",0.08,0.073,0.052,0.037,0.093,0.053,0.047,0.043
