"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3500,3500,3600,3600,3450,3505,3604,3548
"empl_table",3300,3500,3500,3500,3284,3479,3469,3486
"unempl_table",100,100,100,111.730111370754,98,97,107,109
"uerate_table",0.042,0.019,0.016,0.0310361420474315,0.038,0.02,0.018,0.028
