"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",18500,18700,18900,18900,18212,18617,18667,18596
"empl_table",17600,18400,18600,18500,17514,18347,18414,18405
"unempl_table",800,300,300,340.028555383839,667,296,293,284
"uerate_table",0.046,0.015,0.015,0.0179909288562878,0.038,0.015,0.015,0.015
