"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",NA,NA,NA,NA,NA,NA,NA,NA
"empl_table",48400,50600,51100,50900,48126,50620,50703,50605
"unempl_table",2600,800,800,964.495763896223,2044,853,803,779
"uerate_table",0.052,0.015,0.015,0.0185479954595428,0.041,0.016,0.015,0.015
