"","V1","V2","V3","V4"
"lf_table",217963,217076,214784,215231
"empl_table",210194,207486,203399,185586
"unemp_table",7648,8921,10868,29486
"uerate_SB_table",0.035,0.041,0.05,0.138
"uerate_CA_table",0.053,0.014,0.096,0.216
"uerate_US_table",0.036,0.039,0.046,0.154
