"","V1","V2","V3","V4"
"lf_table",218317,209037,211630,213214
"empl_table",210870,182301,188501,192305
"unemp_table",7562,29899,22998,20058
"uerate_SB_table",0.035,0.14,0.108,0.095
"uerate_CA_table",0.039,0.16,0.131,0.121
"uerate_US_table",0.036,0.125,0.099,0.094
