"","V1","V2","V3","V4"
"lf_table",216800,219000,217800,218100
"empl_table",209800,210900,210400,211900
"unemp_table",7000,8100,7400,6100
"uerate_SB_table",0.032,0.037,0.034,0.028
"uerate_CA_table",0.039,0.045,0.042,0.035
"uerate_US_table",0.036,0.04,0.038,0.033
