"","V1","V2","V3","V4"
"lf_table",217136.385686804,217698.112991922,218121.659434986,218457.50749708
"empl_table",208875.628394257,209626.651738791,210312.070117162,210932.812107792
"unemp_table",8249.42915449187,8006.86424602283,7769.59304302951,7404.97996021897
"uerate_SB_table",0.0378666876006107,0.0370148204993272,0.035672611612338,0.0341715239616117
"uerate_CA_table",0.0414412928257291,0.0410329363765863,0.0398531034597402,0.0376231575259866
"uerate_US_table",0.0377448937388241,0.037017716215083,0.0364373249728797,0.0348427912569853
